Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
3.225185,531.562500,-52.531250,-298.343750,397.875000,-281.937500,-482.750000,-0.156250,-1229.812500,-1.125000,0.148438,-5.859375,0.085938,0.148438
3.288131,532.000000,-50.687500,-309.687500,407.625000,-291.156250,-476.468750,-0.570312,-1320.375000,-1.312500,0.406250,-54.781250,-0.648438,-0.585938
3.351035,531.781250,-45.312500,-281.468750,404.656250,-292.500000,-488.031250,-0.671875,-1292.250000,-1.312500,0.140625,25.750000,0.359375,0.828125
3.413946,532.687500,-43.062500,-289.531250,411.718750,-277.281250,-479.000000,-0.414062,-1356.562500,-0.562500,0.070312,-51.742188,0.656250,0.601562
3.476914,542.250000,-38.375000,-300.937500,411.468750,-288.968750,-455.312500,-0.890625,-966.187500,0.187500,0.359375,67.031250,0.046875,-0.289062
3.540111,537.406250,-39.156250,-297.843750,414.812500,-278.500000,-461.093750,-1.125000,-1376.812500,-0.562500,-0.062500,29.953125,0.632812,0.398438
3.604511,520.718750,-28.750000,-300.187500,421.875000,-284.062500,-467.125000,-0.789062,-1316.625000,-1.500000,-0.125000,-19.562500,0.039062,0.421875
3.668135,546.406250,-33.625000,-293.312500,416.312500,-286.937500,-461.062500,-1.226562,-1366.875000,0.000000,-0.281250,15.132812,-0.187500,0.117188
3.731031,532.593750,-31.937500,-287.468750,422.406250,-290.625000,-455.406250,-1.343750,-1318.312500,-0.937500,0.046875,-30.101562,1.296875,0.429688
3.793929,543.656250,-30.968750,-288.343750,424.656250,-278.625000,-457.500000,-1.367188,-1099.687500,-1.125000,0.132812,60.539062,0.382812,-0.578125
3.856824,540.593750,-34.468750,-299.000000,417.437500,-282.093750,-453.437500,-1.320312,-1368.187500,-0.937500,0.382812,-28.390625,0.296875,-0.554688
3.919688,548.000000,-37.500000,-277.250000,411.625000,-268.687500,-443.687500,-1.460938,-1332.750000,-0.750000,-0.039062,-32.843750,0.164062,-0.007812
3.982607,539.187500,-33.375000,-288.625000,413.468750,-287.593750,-450.218750,-1.726562,-1274.625000,0.000000,-0.132812,-23.937500,-0.101562,0.875000
4.045790,533.468750,-45.656250,-288.531250,408.437500,-272.281250,-455.000000,-1.039062,-1372.125000,0.000000,0.250000,-64.429688,0.156250,-0.765625
4.110205,557.187500,-35.687500,-278.406250,406.250000,-278.187500,-466.750000,-1.687500,-1167.375000,2.062500,0.000000,-63.164062,0.195312,-0.609375
